name,category,calories,protein,carbs,fat,fiber,sugar,serving_size,unit_weight_g,brand,fdc_id
Chicken Breast,Protein,165,31.0,0.0,3.6,0.0,0.0,100g,100,,1001
White Rice,Carbohydrate,130,2.7,28.0,0.3,0.4,0.1,100g,100,,1002
Apple,Fruit,95,0.5,25.0,0.3,4.4,19.0,1 medium,182,,1003
Olive Oil,Fat,119,0.0,0.0,13.5,0.0,0.0,1 tbsp,14,,1004
Broccoli,Vegetable,55,4.7,11.0,0.6,5.1,2.2,1 cup,150,,1005
Banana,Fruit,105,1.3,27.0,0.3,3.1,14.4,1 medium,118,,1006
Salmon,Protein,208,20.0,0.0,13.0,0.0,0.0,100g,100,,1007
Egg,Protein,78,6.0,0.6,5.3,0.0,0.6,1 large,50,,1008
Almonds,Nut,579,21.0,22.0,50.0,12.5,4.4,100g,100,,1009
"Milk, Whole",Dairy,61,3.2,4.8,3.3,0.0,5.1,100ml,100,,1010
